x,wall_radius,needle_radius,gap,area
0.0,80.21053,37.5325625913911,42.67796740860891,15786.615767575557
1.0,79.86293645424041,37.21979123646284,42.64314521777757,15685.267646777895
2.0,79.51534290848083,36.90701988153458,42.60832302694625,15584.064010041768
3.0,79.16774936272124,36.59424852660632,42.57350083611492,15483.004857367163
4.0,78.82015581696164,36.28147717167806,42.53867864528358,15382.090188754084
5.0,78.47256227120207,35.968705816749804,42.50385645445226,15281.320004202542
6.0,78.12496872544247,35.655934461821545,42.46903426362093,15180.694303712517
7.0,77.77737517968288,35.343163106893286,42.43421207278959,15080.213087284023
8.0,77.4297816339233,35.03039175196503,42.39938988195827,14979.87635491706
9.0,77.0821880881637,34.71762039703677,42.364567691126936,14879.684106611616
10.0,76.73459454240411,34.40484904210851,42.3297455002956,14779.636342367701
11.0,76.38700099664453,34.09207768718025,42.29492330946428,14679.733062185322
12.0,76.03940745088494,33.77930633225199,42.260101118632946,14579.974266064464
13.0,75.69181390512534,33.46653497732373,42.22527892780161,14480.359954005131
14.0,75.34422035936576,33.15376362239547,42.19045673697029,14380.89012600733
15.0,74.99662681360617,32.840992267467215,42.155634546138955,14281.564782071051
16.0,74.64903326784658,32.528220912538956,42.12081235530762,14182.383922196303
17.0,74.301439722087,32.2154495576107,42.0859901644763,14083.347546383087
18.0,73.9538461763274,31.902678202682438,42.051167973644965,13984.45565463139
19.0,73.60625263056781,31.58990684775418,42.01634578281363,13885.70824694122
20.0,73.25865908480822,31.27713549282592,41.981523591982295,13787.10532331258
21.0,72.91106553904864,30.96436413789766,41.946701401150975,13688.646883745476
22.0,72.56347199328904,30.6515927829694,41.91187921031964,13590.332928239888
23.0,72.21587844752946,30.338821428041143,41.87705701948832,13492.163456795837
24.0,71.86828490176987,30.026050073112884,41.842234828656984,13394.138469413301
25.0,71.52069135601027,29.713278718184622,41.80741263782565,13296.257966092297
26.0,71.17309781025068,29.400507363256363,41.772590446994315,13198.52194683282
27.0,70.8255042644911,29.087736008328104,41.737768256162994,13100.930411634876
28.0,70.47791071873151,28.774964653399845,41.70294606533166,13003.483360498452
29.0,70.13031717297193,28.462193298471586,41.66812387450034,12906.180793423566
30.0,69.78272362721233,28.149421943543327,41.633301683669,12809.022710410196
31.0,69.43513008145274,27.83665058861507,41.59847949283767,12712.009111458357
32.0,69.08753653569315,27.52387923368681,41.563657302006334,12615.139996568045
33.0,68.73994298993357,27.211107878758547,41.52883511117502,12518.415365739262
34.0,68.39234944417397,26.89833652383029,41.49401292034368,12421.835218972003
35.0,68.0447558984144,26.58556516890203,41.459190729512365,12325.399556266279
36.0,67.6971623526548,26.27279381397377,41.42436853868103,12229.108377622075
37.0,67.3495688068952,25.960022459045515,41.38954634784969,12132.961683039399
38.0,67.00197526113561,25.647251104117252,41.35472415701836,12036.95947251825
39.0,66.65438171537603,25.334479749188993,41.31990196618704,11941.101746058635
40.0,66.30678816961644,25.021708394260735,41.285079775355705,11845.388503660539
41.0,65.95919462385685,24.708937039332476,41.25025758452437,11749.819745323972
42.0,65.61160107809727,24.396165684404217,41.21543539369305,11654.395471048938
43.0,65.26400753233767,24.083394329475958,41.180613202861714,11559.115680835423
44.0,64.91641398657808,23.7706229745477,41.14579101203038,11463.980374683437
45.0,64.5688204408185,23.45785161961944,41.11096882119906,11368.989552592986
46.0,64.2212268950589,23.145080264691178,41.07614663036773,11274.143214564056
47.0,63.87363334929932,22.832308909762922,41.041324439536396,11179.441360596653
48.0,63.52603980353973,22.519537554834663,41.00650224870507,11084.88399069078
49.0,63.17844625778014,22.2067661999064,40.97168005787374,10990.47110484643
50.0,62.830852712020544,21.893994844978142,40.936857867042406,10896.20270306361
51.0,62.48325916626096,21.581223490049886,40.90203567621107,10802.078785342317
52.0,62.13566562050137,21.268452135121624,40.86721348537975,10708.099351682553
53.0,61.78807207474178,20.955680780193365,40.832391294548415,10614.264402084314
54.0,61.44047852898219,20.64290942526511,40.79756910371708,10520.573936547604
55.0,61.0928849832226,20.330138070336847,40.76274691288576,10427.027955072423
56.0,60.74529143746301,20.01736671540859,40.727924722054425,10333.626457658762
57.0,60.39769789170342,19.70459536048033,40.69310253122309,10240.369444306636
58.0,60.050104345943836,19.39182400555207,40.65828034039177,10147.256915016036
59.0,59.70251080018424,19.079052650623808,40.623458149560435,10054.28886978696
60.0,59.354917254424656,18.76628129569555,40.58863595872911,9961.465308619414
61.0,59.00732370866507,18.453509940767294,40.55381376789778,9868.786231513395
