x,wall_radius,needle_radius,gap,area
0.0,80.21053,33.5,46.710530000000006,16686.503792138195
1.0,79.86293645424041,33.66101694005554,46.20191951418487,16477.73061822806
2.0,79.51534290848083,33.82203388011108,45.693309028369754,16269.553686044545
3.0,79.16774936272124,33.98305082016662,45.18469854255462,16061.972995587643
4.0,78.82015581696164,34.14406776022216,44.67608805673949,15854.988546857358
5.0,78.47256227120207,34.3050847002777,44.16747757092436,15648.600339853696
6.0,78.12496872544247,34.46610164033324,43.65886708510923,15442.808374576647
7.0,77.77737517968288,34.62711858038878,43.150256599294096,15237.612651026218
8.0,77.4297816339233,34.78813552044432,42.64164611347898,15033.013169202412
9.0,77.0821880881637,34.94915246049986,42.133035627663844,14829.009929105212
10.0,76.73459454240411,35.1101694005554,41.62442514184871,14625.602930734636
11.0,76.38700099664453,35.27118634061094,41.11581465603359,14422.792174090682
12.0,76.03940745088494,35.432203280666485,40.60720417021845,14220.577659173343
13.0,75.69181390512534,35.593220220722024,40.09859368440332,14018.959385982616
14.0,75.34422035936576,35.75423716077756,39.5899831985882,13817.937354518519
15.0,74.99662681360617,35.9152541008331,39.08137271277307,13617.511564781029
16.0,74.64903326784658,36.07627104088864,38.572762226957934,13417.68201677016
17.0,74.301439722087,36.23728798094418,38.064151741142815,13218.448710485913
18.0,73.9538461763274,36.39830492099972,37.55554125532768,13019.81164592828
19.0,73.60625263056781,36.55932186105526,37.04693076951255,12821.770823097262
20.0,73.25865908480822,36.7203388011108,36.538320283697416,12624.32624199286
21.0,72.91106553904864,36.881355741166345,36.02970979788229,12427.477902615086
22.0,72.56347199328904,37.042372681221885,35.52109931206716,12231.225804963922
23.0,72.21587844752946,37.203389621277424,35.01248882625204,12035.569949039384
24.0,71.86828490176987,37.36440656133296,34.503878340436906,11840.510334841456
25.0,71.52069135601027,37.5254235013885,33.99526785462177,11646.046962370145
26.0,71.17309781025068,37.68644044144404,33.48665736880664,11452.179831625455
27.0,70.8255042644911,37.84745738149958,32.97804688299152,11258.908942607384
28.0,70.47791071873151,38.00847432155513,32.46943639717638,11066.234295315928
29.0,70.13031717297193,38.16949126161066,31.96082591136127,10874.155889751099
30.0,69.78272362721233,38.330508201666206,31.45221542554613,10682.673725912873
31.0,69.43513008145274,38.491525141721745,30.943604939730996,10491.787803801273
32.0,69.08753653569315,38.652542081777284,30.434994453915863,10301.498123416288
33.0,68.73994298993357,38.81355902183282,29.926383968100744,10111.804684757926
34.0,68.39234944417397,38.97457596188836,29.41777348228561,9922.707487826176
35.0,68.0447558984144,39.1355929019439,28.909162996470492,9734.20653262105
